"date","RV","rt","close"
2019-07-02,0.381802837184657,0.807017944,309.79
2019-07-03,0.981071028602077,2.634539566,318.06
2019-07-04,0.642133981118929,-0.906441264,315.19
2019-07-05,0.301043614853303,0.190180412,315.79
2019-07-08,1.58297902835675,-0.56844498,314
2019-07-09,0.367392877400826,-0.831472651,311.4
2019-07-10,0.253239516774185,-0.038543072,311.28
2019-07-11,1.22087024298305,1.691473267,316.59
2019-07-12,0.544263312144353,-0.605131189,314.68
2019-07-15,0.247387570278656,0.12385869,315.07
2019-07-16,0.181293581037924,0.057113848,315.25
2019-07-17,0.362601630722788,-0.496073775,313.69
2019-07-18,0.511563366586994,0.939182586,316.65
2019-07-19,0.541777151747542,1.264667821,320.68
2019-07-22,0.966756061376863,-0.776362527,318.2
2019-07-23,0.244975217635886,-0.611545581,316.26
2019-07-24,0.262711507975926,0.391315824,317.5
2019-07-25,0.173963193504548,0.091296894,317.79
2019-07-26,0.488662115857186,-0.293075133,316.86
2019-07-29,0.361998165763305,0.107245381,317.2
2019-07-30,0.163222208535063,0.387018088,318.43
2019-07-31,0.104370088796032,0.366754325,319.6
2019-08-01,1.05975123093416,-1.494211831,314.86
2019-08-02,1.01569276291957,2.366491505,322.4
2019-08-05,1.84438118163802,2.961300588,332.09
2019-08-06,1.18476398147404,0.333689378,333.2
2019-08-07,0.805482277635879,1.984970384,339.88
2019-08-08,1.96904375533344,0.651047785,342.1
2019-08-09,0.493199185971561,0.379285648,343.4
2019-08-12,0.679663603566581,-0.595830958,341.36
2019-08-13,0.522836751838286,2.379479503,349.58
2019-08-14,3.80538742830893,-2.426361829,341.2
2019-08-15,1.16502082101449,0.892837023,344.26
2019-08-16,0.66817369227161,0.31901654,345.36
2019-08-19,0.569677369638153,-0.40038351,343.98
2019-08-20,0.259634428814317,-0.334881867,342.83
2019-08-21,0.250828024536361,-0.017502917,342.77
2019-08-22,0.204470547510369,0.238941777,343.59
2019-08-23,0.218718054035498,-0.099004143,343.25
2019-08-26,1.97319907156516,3.326430085,354.86
2019-08-27,0.463070640378696,0.295454441,355.91
2019-08-28,0.506705361587354,0.305789188,357
