模型形式,omega,alpha1,beta1,eta11,eta21,delta,lambda,xi,pi
N,0.373,0.435,0.339,-0.221,0.225,1.106,0.563,-0.822,0.819
,0,0,0.002,0,0,0,0,0,-
T,0.539,0.503,0.304,-0.244,0.261,1.017,0.562,-0.941,0.815
,0.007,0,0.006,0,0,0,0,0,-
ST,0.528,0.505,0.302,-0.242,0.255,1.014,0.562,-0.926,0.814
,0.008,0,0.006,0,0,0,0,0,-
GH,0.422,0.484,0.319,-0.227,0.226,1.035,0.562,-0.831,0.82
,0.001,0,0.005,0,0,0,0,0,-
